16 окт. 2025 11:29:06,378  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1483, SID: guestTeamName(game)]
16 окт. 2025 11:29:09,295  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1486, SID: resultName(game)]
16 окт. 2025 11:29:09,333  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,2), value : 
16 окт. 2025 11:29:09,340  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,2)
16 окт. 2025 11:29:10,762  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1486, SID: resultName(game)]
16 окт. 2025 11:29:11,377  -  -   INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1016201742 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:29:11,433  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:29:11,450  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:29:16,378  -  -   INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1016201742 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:29:16,378  -  -   INFO RemoteLogger - FORM CLOSE : FORM[1016201742 - HockeyStats.team,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:29:17,399  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1486, SID: resultName(game)]
16 окт. 2025 11:29:17,414  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,3), value : 
16 окт. 2025 11:29:17,414  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,3)
16 окт. 2025 11:29:22,122  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1486, SID: resultName(game)]
16 окт. 2025 11:29:23,066  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:29:23,096  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:32:53,657  -  -   INFO RemoteLogger - FORM OPEN : FORM[77373711 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:32:57,139  -  -   INFO RemoteLogger - executeEventAction started: [ID: 907, SID: formClose()]
16 окт. 2025 11:32:57,139  -  -   INFO RemoteLogger - FORM HIDE : FORM[77373711 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:32:57,139  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 907, SID: formClose()]
16 окт. 2025 11:32:57,139  -  -   INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[77373711 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:02,147  -  -   INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[77373711 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:03,551  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1464, SID: formOk()]
16 окт. 2025 11:33:03,738  -  -   INFO RemoteLogger - FORM HIDE : FORM[239703145 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:03,739  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1464, SID: formOk()]
16 окт. 2025 11:33:03,739  -  -   INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[239703145 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:05,095  -  -   INFO RemoteLogger - FORM OPEN : FORM[1274076699 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:07,148  -  -   INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[77373711 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:07,148  -  -   INFO RemoteLogger - FORM CLOSE : FORM[77373711 - HockeyStats.teams,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:08,761  -  -   INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[239703145 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:09,707  -  -   INFO RemoteLogger - FORM OPEN : FORM[1046442608 - Schedule.schedules,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:10,640  -  -   INFO RemoteLogger - FORM OPEN : FORM[87074131 - Numerator.defaultNumerators,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:13,448  -  -   INFO RemoteLogger - FORM OPEN : FORM[1134744053 - I18n.languages,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:13,762  -  -   INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[239703145 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:13,762  -  -   INFO RemoteLogger - FORM CLOSE : FORM[239703145 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:15,113  -  -   INFO RemoteLogger - FORM HIDE : FORM[1134744053 - I18n.languages,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:15,113  -  -   INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1134744053 - I18n.languages,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:16,134  -  -   INFO RemoteLogger - FORM HIDE : FORM[87074131 - Numerator.defaultNumerators,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:16,134  -  -   INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[87074131 - Numerator.defaultNumerators,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:16,798  -  -   INFO RemoteLogger - FORM HIDE : FORM[1046442608 - Schedule.schedules,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:16,798  -  -   INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1046442608 - Schedule.schedules,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:19,447  -  -   INFO RemoteLogger - FORM OPEN : FORM[1267962241 - HockeyStats.scoreTable,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:20,122  -  -   INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1134744053 - I18n.languages,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:21,152  -  -   INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[87074131 - Numerator.defaultNumerators,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:21,813  -  -   INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1046442608 - Schedule.schedules,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:23,057  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1486, SID: resultName(game)]
16 окт. 2025 11:33:23,072  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,0), value : 
16 окт. 2025 11:33:23,072  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,0)
16 окт. 2025 11:33:25,038  -  -   INFO RemoteLogger - getAsyncValues started: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,1), value : ПБ
16 окт. 2025 11:33:25,045  -  -   INFO RemoteLogger - getAsyncValues ended: Thread[#124,RMI:HockeyStats.scoreTable, TID - (124),5,RMI Runtime], indices : (-1,0,1)
16 окт. 2025 11:33:25,123  -  -   INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1134744053 - I18n.languages,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:25,123  -  -   INFO RemoteLogger - FORM CLOSE : FORM[1134744053 - I18n.languages,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:25,917  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1486, SID: resultName(game)]
16 окт. 2025 11:33:26,152  -  -   INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[87074131 - Numerator.defaultNumerators,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:26,152  -  -   INFO RemoteLogger - FORM CLOSE : FORM[87074131 - Numerator.defaultNumerators,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:26,605  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:33:26,606  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1493, SID: _NEW_HockeyStats_scoreTable_game()]
16 окт. 2025 11:33:26,814  -  -   INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1046442608 - Schedule.schedules,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]]
16 окт. 2025 11:33:26,814  -  -   INFO RemoteLogger - FORM CLOSE : FORM[1046442608 - Schedule.schedules,RN[clientAddress: 127.0.0.1,269 - Authentication.CustomUser 'Обычный пользователь',589757103,SQL@50253681]]
16 окт. 2025 11:33:30,551  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1477, SID: date(game)]
16 окт. 2025 11:33:30,552  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1477, SID: date(game)]
16 окт. 2025 11:33:32,747  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1478, SID: hostTeamName(game)]
16 окт. 2025 11:33:32,750  -  -   INFO RemoteLogger - executeEventAction ended: [ID: 1478, SID: hostTeamName(game)]
16 окт. 2025 11:33:36,764  -  -   INFO RemoteLogger - executeEventAction started: [ID: 1479, SID: hostGoals(game)]
