16 окт. 2025 11:25:10,298  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,299  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,322  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,340  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,341  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,343  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:10,345  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 10576, Current connections count : 1
16 окт. 2025 11:25:11,468  -  -   INFO SQLConnectionLogger - NEW CONNECTION : 14536, Time : 23, Current connections count : 2
16 окт. 2025 11:25:11,477  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 14536, Current connections count : 2
16 окт. 2025 11:25:11,587  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,591  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,644  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,648  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,673  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,674  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,675  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,701  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,702  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,707  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,708  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,711  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,713  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,715  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,717  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,719  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,719  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,721  -  -   INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10576, Current connections count : 2
16 окт. 2025 11:25:11,722  -  -   INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10576, Current connections count : 2
