16 окт. 2025 11:29:10,761  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 13] resumed after userInteraction: [UserInputResult[editCanceled=true, value=null]]
16 окт. 2025 11:29:10,763  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 13] finished
16 окт. 2025 11:29:10,763  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 13] for request #13
16 окт. 2025 11:29:11,433  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 14] for request #14
16 окт. 2025 11:29:11,433  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 14] for request #14
16 окт. 2025 11:29:11,433  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 14]
16 окт. 2025 11:29:11,512  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 14] finished
16 окт. 2025 11:29:11,512  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 14] for request #14
16 окт. 2025 11:29:17,048  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: changeGroupObject, rq: 15] for request #15
16 окт. 2025 11:29:17,048  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: changeGroupObject, rq: 15] for request #15
16 окт. 2025 11:29:17,048  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: changeGroupObject, rq: 15]
16 окт. 2025 11:29:17,050  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: changeGroupObject, rq: 15] finished
16 окт. 2025 11:29:17,050  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: changeGroupObject, rq: 15] for request #15
16 окт. 2025 11:29:17,398  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 16] for request #16
16 окт. 2025 11:29:17,398  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 16] for request #16
16 окт. 2025 11:29:17,398  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 16]
16 окт. 2025 11:29:17,401  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 16] called pauseForUserInteraction: [lsfusion.interop.action.RequestUserInputClientAction@7c48af78]
16 окт. 2025 11:29:22,114  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 16] resumed after userInteraction: [UserInputResult[editCanceled=false, value=ПБ]]
16 окт. 2025 11:29:22,419  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 16] finished
16 окт. 2025 11:29:22,419  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 16] for request #16
16 окт. 2025 11:29:23,065  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 17] for request #17
16 окт. 2025 11:29:23,065  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 17] for request #17
16 окт. 2025 11:29:23,066  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 17]
16 окт. 2025 11:29:23,228  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 17] finished
16 окт. 2025 11:29:23,228  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 17] for request #17
16 окт. 2025 11:32:53,654  INFO PausableInvocationsLogger - Run invocation: [f: navigator, m: executeNavigatorAction, rq: 5]
16 окт. 2025 11:32:53,673  INFO PausableInvocationsLogger - Interaction [f: navigator, m: executeNavigatorAction, rq: 5] called delayUserInteraction: FormClientAction[showFormType: DOCKED]
16 окт. 2025 11:32:53,673  INFO PausableInvocationsLogger - Invocation [f: navigator, m: executeNavigatorAction, rq: 5] finished
16 окт. 2025 11:32:53,725  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.teams, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:32:53,725  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.teams, m: gainedFocus, rq: 0] for request #0
16 окт. 2025 11:32:53,726  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.teams, m: gainedFocus, rq: 0]
16 окт. 2025 11:32:53,727  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.teams, m: gainedFocus, rq: 0] finished
16 окт. 2025 11:32:53,727  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.teams, m: gainedFocus, rq: 0] for request #0
